Título,Links
Valdemar diz que havia minutas golpistas 'na casa de todo mundo',https://oglobo.globo.com/politica/noticia/2023/01/entrevista-presidente-do-pl-valdemar-diz-que-havia-propostas-de-decreto-golpista-na-casa-de-todo-mundo.ghtml
Rodrigo Pacheco tenta conter traições para se reeleger no Senado,https://oglobo.globo.com/politica/noticia/2023/01/pacheco-tenta-conter-traicoes-no-mdb-e-uniao-brasil-para-se-reeleger-presidente-do-senado.ghtml
Chico Alencar diz que Lira fará governo refém: 'É um Cunha repaginado',https://oglobo.globo.com/blogs/bernardo-mello-franco/coluna/2023/01/lula-pagara-caro-por-reeleicao-de-lira-diz-chico-alencar.ghtml
Mais 5 militares que atuavam no GSI da Presidência são dispensados,https://valor.globo.com/politica/noticia/2023/01/27/dirio-oficial-traz-cinco-novas-dispensas-de-militares-que-atuavam-no-gsi.ghtml
"Após título histórico, Stefani e Matos miram conquistar Roland Garros",https://ge.globo.com/tenis/noticia/2023/01/27/do-convite-incerto-ao-titulo-stefani-e-matos-festejam-e-tracam-novo-plano-roland-garros.ghtml
Opinião: título é o maior do tênis brasileiro desde o tri de Guga,https://ge.globo.com/tenis/post/2023/01/27/opiniao-stefani-e-matos-conquistam-o-maior-titulo-brasileiro-no-tenis-desde-o-tri-de-guga-em-roland-garros.ghtml
"Laudo aponta lesões, mas contradiz depoimento de mulher ao indicar beijo",https://oglobo.globo.com/esportes/noticia/2023/01/laudo-aponta-beijo-entre-daniel-alves-e-a-mulher-que-o-acusa-de-agressao-sexual-contradizendo-depoimento-dela.ghtml
"Defesa sugere pulseira eletrônica para atleta deixar prisão, diz TV",https://g1.globo.com/mundo/noticia/2023/01/27/advogado-de-daniel-alves-vai-propor-a-justica-espanhola-pulseira-eletronica-para-tirar-jogador-da-prisao.ghtml
"Daniel Alves pede restrição de visitas, afirma jornal",https://ge.globo.com/futebol/futebol-internacional/noticia/2023/01/27/caso-daniel-alves-jogador-pede-restricao-de-visitas.ghtml
Neymar será testemunha em operação contra lavagem de dinheiro,https://g1.globo.com/df/distrito-federal/noticia/2023/01/27/neymar-e-intimado-a-depor-em-operacao-que-investiga-agiotagem-lavagem-de-dinheiro-e-receptacao-de-joias-no-df.ghtml
"Guimê, Fred e novo líder Cara de Sapato discutem sobre Poder Curinga",https://gshow.globo.com/realities/bbb/bbb-23/dentro-da-casa/noticia/mc-guime-fred-e-cara-de-sapato-discutem-sobre-veto.ghtml
Líder põe dois brothers na mira,https://gshow.globo.com/realities/bbb/bbb-23/prova-do-lider/noticia/cara-de-sapato-revela-suas-opcoes-de-voto-no-bbb-23.ghtml
Amanda fica imune; RESUMÃO,https://gshow.globo.com/realities/bbb/bbb-23/dentro-da-casa/noticia/resumo-bbb-23-de-271-informacoes-de-fred-nicacio-estrategias-e-reviravoltas-marcam-a-madrugada.ghtml
Irmão de sister torce por affair,https://oglobo.globo.com/kogut/realities/noticia/2023/01/bbb-23-irmao-de-amanda-fala-sobre-traicao-em-relacionamento-anterior-dela-e-torce-por-romance-com-cara-de-sapato.ghtml
" 1ª eliminada, Marília assume que ficou mal com atitude de Fred Nicácio ",https://gshow.globo.com/realities/bbb/bbb-23/bate-papo-bbb/playlist/bate-papo-bbb-marilia-confira-os-melhores-momentos-com-a-primeira-eliminada.ghtml#video-11315705-id
Bruna reclama de Larissa por Prova do Líder com Fred,https://gshow.globo.com/realities/bbb/bbb-23/dentro-da-casa/noticia/bruna-griphao-desabafa-com-grupo-e-diz-que-foi-trocada-por-larissa-estou-ligada-na-tua.ghtml
Nicácio volta com alerta: 'Vão dizimar a gente',https://gshow.globo.com/realities/bbb/bbb-23/dentro-da-casa/noticia/apos-voltar-do-paredao-fred-nicacio-declara-a-brothers-vao-dizimar-a-gente.ghtml
O que Fred Nicácio já revelou após o Quarto Secreto?,https://gshow.globo.com/realities/bbb/bbb-23/dentro-da-casa/noticia/bbb-23-o-que-fred-nicacio-ja-contou-aos-participantes-apos-o-quarto-secreto.ghtml
